MatrixSize, AverageDuration, AverageOperations
50, 0.6, 2500
100, 7.8, 10000
150, 28.4, 22500
200, 61.6, 40000
250, 150.2, 62500
300, 201.4, 90000
350, 303.6, 122500
400, 460.6, 160000
450, 682.2, 202500
500, 1032.6, 250000
550, 1549.6, 302500
600, 2337.2, 360000
650, 3320.4, 422500
700, 4234.8, 490000
750, 5162.2, 562500
800, 7374.6, 640000
